atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
62976,Everton Silva,29,2015,314,Avaí,2,lat,11,-0.6,0.85,1.03,2.14,-1.11,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,NA
62976,Everton Silva,3,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,30,2015,314,Avaí,2,lat,11,0,0.85,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,31,2015,314,Avaí,2,lat,11,0,0.85,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,32,2015,314,Avaí,2,lat,12,8.3,1.47,5.26,3.7,1.56,3,2,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,NA
62976,Everton Silva,33,2015,314,Avaí,2,lat,13,1.9,1.5,1.8,2.75,-0.95,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,34,2015,314,Avaí,2,lat,13,0,1.5,2.75,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,35,2015,314,Avaí,2,lat,14,5.7,1.8,4.17,3.46,0.71,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,NA
62976,Everton Silva,36,2015,314,Avaí,2,lat,14,0,1.8,3.46,3.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,37,2015,314,Avaí,2,lat,16,-3.4,1.77,0.32000000000000006,2.04,-1.72,4,8,0,0,1,1,0,0,0,2,5,0,2,0,1,0,0,0,0,NA
62976,Everton Silva,4,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,5,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,6,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,7,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,8,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,9,2015,314,Avaí,2,lat,1,0,-0.5,2.77,2.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
62976,Everton Silva,1,2015,314,Avaí,2,lat,1,-0.5,-0.5,1.54,2.77,-1.23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,10,2015,293,Atlético-PR,4,mei,6,-0.3,-0.98,1.85,2.31,-0.46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,11,2015,293,Atlético-PR,4,mei,7,3.8,-0.3,3.97,3.14,0.83,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,NA
80129,Jadson,12,2015,293,Atlético-PR,4,mei,7,0,-0.3,3.14,3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,13,2015,293,Atlético-PR,4,mei,8,0.8,-0.16,2.2399999999999998,2.69,-0.45,2,3,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,NA
80129,Jadson,14,2015,293,Atlético-PR,4,mei,8,0,-0.16,2.69,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,15,2015,293,Atlético-PR,4,mei,8,0,-0.16,2.69,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,16,2015,293,Atlético-PR,4,mei,8,0,-0.16,2.69,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,17,2015,293,Atlético-PR,4,mei,8,0,-0.16,2.69,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,18,2015,293,Atlético-PR,4,mei,8,0,-0.16,2.69,2.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
80129,Jadson,19,2015,293,Atlético-PR,4,mei,9,-0.8,-0.23,1.9300000000000002,2.31,-0.38,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
80129,Jadson,2,2015,293,Atlético-PR,4,mei,2,-4.5,-1.9,0.17999999999999972,3.53,-3.35,2,4,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,NA
